PWID	Pathwaytitle	geneProduct	genename	ensembl	types
WP3584	MECP2 and associated Rett syndrome	ENSG00000128683	GAD1 gene	ENSG00000128683	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Rna
WP5402	10q22q23 copy number variation	CHEBI:16810	2-Ketoglutarate		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5406	13q12.12 copy number variation	ENSG00000128591	FLNC	ENSG00000128591	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4905	1q21.1 copy number variation syndrome	CHEBI:16027	ADENOSINE MONOPHOSPHATE		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5407	15q11q13 copy number variation	CHEBI:29108	Ca++		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4657	22q11.2 copy number variation syndrome	WP35	Gi/Go Pathway		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP3584	MECP2 and associated Rett syndrome	HMDB0001389	Melatonin		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP2781	Signaling by ERBB4	R-HSA-1254284	ERBB4s80:p-Y694-STAT5A		http://vocabularies.wikipathways.org/wp#Complex|http://vocabularies.wikipathways.org/wp#DataNode
WP5346	8p23.1 copy number variation syndrome	ENSG00000139515	PDX1	ENSG00000139515	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4222	Phosphodiesterases in neuronal function	ENSG00000185532	PRKG1	ENSG00000185532	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4905	1q21.1 copy number variation syndrome	CHEBI:7794	phosphate monoester		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4906	3q29 copy number variation syndrome	CHEBI:33019	6 PP		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4657	22q11.2 copy number variation syndrome	P51449	RORC	ENSG00000143365	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5402	10q22q23 copy number variation	ENSG00000130368	MAS1	ENSG00000130368	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5408	15q25 copy number variation	ENSG00000198900	TOP1	ENSG00000198900	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	CHEBI:15414	AdoMet		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5402	10q22q23 copy number variation	ENSG00000108219	TSPAN14	ENSG00000108219	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	R-HSA-1253328	ERBB4s80:TAB2:NCOR1		http://vocabularies.wikipathways.org/wp#Complex|http://vocabularies.wikipathways.org/wp#DataNode
WP4906	3q29 copy number variation syndrome	ENSG00000124688	MAD2L1BP	ENSG00000124688	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4905	1q21.1 copy number variation syndrome	ENSG00000181929	PRKAG1	ENSG00000181929	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5407	15q11q13 copy number variation	CHEBI:29101	Na+		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5405	13q12 or CRYL1 copy number variation 	ENSG00000165475	CRYL1	ENSG00000165475	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	Q9UIG0	BAZ1B	ENSG00000009954	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4906	3q29 copy number variation syndrome	CHEBI:295975	Choline phosphate(1−)		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5402	10q22q23 copy number variation	WP428	Wnt Signaling		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4657	22q11.2 copy number variation syndrome	WP4443	p75 NTR receptor-mediated signalling		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP5406	13q12.12 copy number variation	ENSG00000232977	LINC00327	ENSG00000232977	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5346	8p23.1 copy number variation syndrome	CHEBI:15377	H20		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5407	15q11q13 copy number variation	ENSG00000083067	TRPM3	ENSG00000083067	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP3584	MECP2 and associated Rett syndrome	MIMAT0004514	hsa-miR-29b-1-5p		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Rna
WP5407	15q11q13 copy number variation	ENSG00000104067	TJP1	ENSG00000104067	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4942	15q13.3 copy number variation syndrome	ENSG00000166664	CHRFAM7A	ENSG00000166664	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4222	Phosphodiesterases in neuronal function	ENSG00000154678	PDE1C	ENSG00000154678	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	CHEBI:26271	proline		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4657	22q11.2 copy number variation syndrome	ENSG00000107831	FGF8	ENSG00000107831	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP3584	MECP2 and associated Rett syndrome	ENSG00000197971	MBP	ENSG00000197971	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5407	15q11q13 copy number variation	ENSG00000104067	TJP1 gene	ENSG00000104067	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	MIMAT0000455	hsa-miR-185		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Rna
WP4222	Phosphodiesterases in neuronal function	HMDB0000058	Cyclic AMP (cAMP)		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5402	10q22q23 copy number variation	CHEBI:29985	glutamic acid		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5346	8p23.1 copy number variation syndrome	CHEBI:82620	L-tyrosine-O-phosphate(2−) residue		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5407	15q11q13 copy number variation	CHEBI:18420	Mg2+ [plasma membrane]		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5346	8p23.1 copy number variation syndrome	CHEBI:33697	RNA		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4932	7q11.23 copy number variation syndrome	ENSG00000099624	ATP5D	ENSG00000099624	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	P0CG47	UBB(77-152)	ENSG00000170315	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP5398	NRXN1 deletion syndrome	ENSG00000161509	GRIN2C	ENSG00000161509	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5408	15q25 copy number variation	ENSG00000136404	TM6SF1	ENSG00000136404	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	CHEBI:28300	Glu		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4932	7q11.23 copy number variation syndrome	CHEBI:82620	L-tyrosine-O-phosphate(2−) residue		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4932	7q11.23 copy number variation syndrome	WP78	Tricarboxylic acid cycle		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4942	15q13.3 copy number variation syndrome	ENSG00000010810	FYN	ENSG00000010810	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	CHEBI:18357	NAd [clathrin-sculpted glutamate transport vesicle lumen]		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4932	7q11.23 copy number variation syndrome	ENSG00000176410	DNAJC30	ENSG00000176410	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4222	Phosphodiesterases in neuronal function	ENSG00000173175	ADCY5	ENSG00000173175	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	P00533	EGFR A289T	ENSG00000146648	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP4905	1q21.1 copy number variation syndrome	ENSG00000131781	FMO5	ENSG00000131781	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	ENSG00000199104	MIR346	ENSG00000199104	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	CHEBI:15378	2H+		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5406	13q12.12 copy number variation	ENSG00000027001	MIPEP	ENSG00000027001	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	WP1793	Tight junctions		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP3584	MECP2 and associated Rett syndrome	MIMAT0004561	hsa-miR-187-5p		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Rna
WP3584	MECP2 and associated Rett syndrome	ENSG00000168394	TAP1	ENSG00000168394	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5398	NRXN1 deletion syndrome	ENSG00000132535	PSD95	ENSG00000132535	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	P62979	RPS27A(77-156)	ENSG00000143947	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	P01133	Pro-EGF	ENSG00000138798	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP408	Oxidative stress response	ENSG00000165168	CYBB	ENSG00000165168	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5346	8p23.1 copy number variation syndrome	WP183	26S Proteasome  Degradation		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4932	7q11.23 copy number variation syndrome	ENSG00000241709	RN7SL265P	ENSG00000241709	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP3584	MECP2 and associated Rett syndrome	HMDB0000123	glycine		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5402	10q22q23 copy number variation	CHEBI:33019	pyro- phosphate		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4942	15q13.3 copy number variation syndrome	ENSG00000113262	GRM6	ENSG00000113262	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	ENSG00000109320	p50/p52	ENSG00000109320	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP3584	MECP2 and associated Rett syndrome	ENSG00000078328	RBFOX1	ENSG00000078328	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5412	8q11.23 (RB1CC1) copy number variation	ENSG00000141580	WDR45B	ENSG00000141580	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4222	Phosphodiesterases in neuronal function	ENSG00000155511	GRIA1	ENSG00000155511	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Rna
WP4657	22q11.2 copy number variation syndrome	ENSG00000133794	ARNTL	ENSG00000133794	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5408	15q25 copy number variation	ENSG00000196218	RYR1	ENSG00000196218	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	ENSG00000175877	TMEM270	ENSG00000175877	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	ENSG00000072501	SMC1A	ENSG00000072501	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP3584	MECP2 and associated Rett syndrome	ENSG00000113916	BCL6	ENSG00000113916	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4932	7q11.23 copy number variation syndrome	WP428	Wnt signaling pathway		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP5346	8p23.1 copy number variation syndrome	ENSG00000154328	NEIL2	ENSG00000154328	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	ENSG00000185252	ZNF74	ENSG00000185252	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4222	Phosphodiesterases in neuronal function	CHEBI:37565	GTP		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4932	7q11.23 copy number variation syndrome	O00159	MYO1C	ENSG00000197879	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5408	15q25 copy number variation	ENSG00000259511	UBE2Q2L	ENSG00000259511	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP3584	MECP2 and associated Rett syndrome	CHEBI:16523	D-Ser		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP2781	Signaling by ERBB4	Q15303-1	p-Y1056,Y1188,Y1242-ERBB4 JM-A CYT-1 isoform		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP4875	Disruption of postsynaptic signaling by CNV	9378	NRXN1	ENSG00000179915	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	ENSG00000100056	ESS2	ENSG00000100056	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	CHEBI:29016	L-arginine		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4906	3q29 copy number variation syndrome	CHEBI:295975	phosphocholine		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP408	Oxidative stress response	ENSG00000255346	NOX5	ENSG00000255346	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	P00533	EGFR L747_T751delinsP	ENSG00000146648	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP4932	7q11.23 copy number variation syndrome	CHEBI:18243	Dopamine		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
