"CNVassociated","disgenet_curated","Ensembl","Entrez_gene","fromDisGeNET","fromPublication","fromWikiPathways","gdascore","gLayCluster","HGNCsymbol","name","name.copy","PathwayID","Publication.doi","selected","shared name","snpID","WPNodeID","WPNodeIDType"
,"PSYGENET","ENSG00000270106","100303453","1",,,"0.32","28","TSNAX-DISC1","TSNAX-DISC1","TSNAX-DISC1",,,"false","TSNAX-DISC1",,,
,"CTD_human","ENSG00000288702","54659","1",,,"0.3","29","UGT1A3","UGT1A3","UGT1A3",,,"false","UGT1A3",,,
,"PSYGENET","ENSG00000213260","86123","1",,,"0.31","30","YWHAZP5","YWHAZP5","YWHAZP5",,,"false","YWHAZP5",,,
,,"ENSG00000253553",,,"1",,,"31",,"RP11-586K2.1","RP11-586K2.1",,"10.1038/s41586-022-04434-5","false","RP11-586K2.1","rs1915019",,
,,"ENSG00000272335",,,"1",,,"32",,"RP11-53O19.3","RP11-53O19.3",,"10.1038/s41586-022-04434-5","false","RP11-53O19.3","rs10035564",,
,,"ENSG00000259616",,,"1",,,"33",,"RP11-507B12.2","RP11-507B12.2",,"10.1038/s41586-022-04434-5","false","RP11-507B12.2","rs35351411",,
,,"ENSG00000259946",,,"1",,,"34",,"RP11-490G2.2","RP11-490G2.2",,"10.1038/s41586-022-04434-5","false","RP11-490G2.2","rs1198588",,
,,"ENSG00000234840",,,"1",,,"35","LINC01239","RP11-399D6.2","RP11-399D6.2",,"10.1038/s41586-022-04434-5","false","RP11-399D6.2","rs505061",,
,,"ENSG00000227603",,,"1",,,"36",,"RP11-165J3.6","RP11-165J3.6",,"10.1038/s41586-022-04434-5","false","RP11-165J3.6","rs6479487",,
,,"ENSG00000246560",,,"1",,,"37","UBE2D3-AS1","RP11-10L12.4","RP11-10L12.4",,"10.1038/s41586-022-04434-5","false","RP11-10L12.4","rs13107325",,
,,"ENSG00000141140",,,"1",,,"38",,"MYO19","MYO19",,"10.1038/s41586-022-04434-5","false","MYO19","rs11263770",,
,,"ENSG00000249307",,,"1",,,"39","LINC01088","LINC01088","LINC01088",,"10.1038/s41586-022-04434-5","false","LINC01088","rs28454198",,
,,"ENSG00000227676",,,"1",,,"40","LINC01068","LINC01068","LINC01068",,"10.1038/s41586-022-04434-5","false","LINC01068","rs9545047",,
,,"ENSG00000224924",,,"1",,,"41","LINC00320","LINC00320","LINC00320",,"10.1038/s41586-022-04434-5","false","LINC00320","rs459391",,
,,"ENSG00000262319",,,"1",,,"42",,"ENSG00000262319","ENSG00000262319",,"10.1038/s41586-022-04434-5","false","ENSG00000262319","rs959071",,
,,"ENSG00000206129",,,"1",,,"43",,"CTD-2008L17.2","CTD-2008L17.2",,"10.1038/s41586-022-04434-5","false","CTD-2008L17.2","rs715170",,
,,"ENSG00000163016",,,"1",,,"44","ALMS1P1","ALMS1P","ALMS1P",,"10.1038/s41586-022-04434-5","false","ALMS1P","rs6546857",,
,,"ENSG00000231200",,,"1",,,"45",,"AC068490.2","AC068490.2",,"10.1038/s41586-022-04434-5","false","AC068490.2","rs12712510",,
"1",,"ENSG00000259448",,,,"1",,"46","LINC02352","LINC02352","LINC02352","WP4942",,"false","LINC02352",,"ENSG00000259448","ensembl"
"1",,"ENSG00000184608",,,,"1",,"47","FAM167A-AS1","C8orf12","C8orf12","WP5346",,"false","C8orf12",,"ENSG00000184608","ensembl"
,,"ENSG00000123201",,,,"1",,"48","GUCY1B2","GUCY1B2, sGC","GUCY1B2, sGC","WP4222",,"false","GUCY1B2, sGC",,"ENSG00000123201","ensembl"
"1",,"ENSG00000252713",,,,"1",,"49","RNU6-1198P","RNU6-1198P","RNU6-1198P","WP4932",,"false","RNU6-1198P",,"ENSG00000252713","ensembl"
"1",,"ENSG00000237476",,,,"1",,"50","LINC01637","LINC01637","LINC01637","WP4657",,"false","LINC01637",,"ENSG00000237476","ensembl"
"1",,"ENSG00000180867",,,,"1",,"51","PDIA3P1","PDIA3P1","PDIA3P1","WP4905",,"false","PDIA3P1",,"ENSG00000180867","ensembl"
"1",,"ENSG00000252174",,,,"1",,"52","RNU7-18P","RNU7-18P","RNU7-18P","WP4906",,"false","RNU7-18P",,"ENSG00000252174","ensembl"
,,"ENSG00000233276",,,,"1",,"53","GPX1","GPX 1, GPX1","GPX 1, GPX1","WP408",,"false","GPX 1, GPX1",,"2876","ncbigene"
"1",,"ENSG00000243339",,,,"1",,"54","RN7SL738P","RN7SL738P","RN7SL738P","WP4906",,"false","RN7SL738P",,"ENSG00000243339","ensembl"
"1",,"ENSG00000206644",,,,"1",,"55","RNU6-1279P","RNU6-1279P","RNU6-1279P","WP4906",,"false","RNU6-1279P",,"ENSG00000206644","ensembl"
"1",,"ENSG00000207343",,,,"1",,"56","RNU6-225P","RNU6-225P","RNU6-225P","WP4657",,"false","RNU6-225P",,"ENSG00000207343","ensembl"
"1",,"ENSG00000273331",,,,"1",,"57","TM4SF19-DYNLT2B","TM4SF19-TCTEX1D2","TM4SF19-TCTEX1D2","WP4906",,"false","TM4SF19-TCTEX1D2",,"ENSG00000273331","ensembl"
"1",,"ENSG00000207741",,,,"1",,"58","MIR590","MIR590","MIR590","WP4932",,"false","MIR590",,"ENSG00000207741","ensembl"
"1",,"ENSG00000249680",,,,"1",,"59","TUBA3GP","TUBA3GP","TUBA3GP","WP4657",,"false","TUBA3GP",,"ENSG00000249680","ensembl"
"1",,"ENSG00000224652",,,,"1",,"60","LINC00885","LINC00885","LINC00885","WP4906",,"false","LINC00885",,"ENSG00000224652","ensembl"
"1",,"ENSG00000260924",,,,"1",,"61","LINC01311","LINC01311","LINC01311","WP4657",,"false","LINC01311",,"ENSG00000260924","ensembl"
"1",,"ENSG00000227375",,,,"1",,"62","DLG1-AS1","DLG1-AS1","DLG1-AS1","WP4906",,"false","DLG1-AS1",,"ENSG00000227375","ensembl"
"1",,"ENSG00000212526",,,,"1",,"63","RNU6-466P","RNU6-466P","RNU6-466P","WP4942",,"false","RNU6-466P",,"ENSG00000212526","ensembl"
"1",,"ENSG00000260128",,,,"1",,"64","ULK4P2","ULK4P2","ULK4P2","WP4942",,"false","ULK4P2",,"ENSG00000260128","ensembl"
"1",,"ENSG00000278278",,,,"1",,"65","MIR6816","hsa-mir-6816","hsa-mir-6816","WP4657",,"false","hsa-mir-6816",,"MI0022661","mirbase"
"1",,"ENSG00000232065",,,,"1",,"66","LINC01063","LINC01063","LINC01063","WP4906",,"false","LINC01063",,"ENSG00000232065","ensembl"
"1",,"ENSG00000206892",,,,"1",,"67","RNU6-42P","RNU6-42P","RNU6-42P","WP4906",,"false","RNU6-42P",,"ENSG00000206892","ensembl"
"1",,"ENSG00000223553",,,,"1",,"68","SMPD4P1","SMPD4P1","SMPD4P1","WP4657",,"false","SMPD4P1",,"ENSG00000223553","ensembl"
"1",,"ENSG00000227893",,,,"1",,"69","LINC00352","LINC00352","LINC00352","WP5406",,"false","LINC00352",,"ENSG00000227893","ensembl"
"1",,"ENSG00000226653",,,,"1",,"70","OR13Z1P","OR13Z1P","OR13Z1P","WP4905",,"false","OR13Z1P",,"ENSG00000226653","ensembl"
"1",,"ENSG00000228109",,,,"1",,"71","MELTF-AS1","MELTF-AS1","MELTF-AS1","WP4906",,"false","MELTF-AS1",,"ENSG00000228109","ensembl"
"1",,"ENSG00000235062",,,,"1",,"72","BCRP5","BCRP5","BCRP5","WP4657",,"false","BCRP5",,"ENSG00000235062","ensembl"
"1",,"ENSG00000236499",,,,"1",,"73","LINC00896","LINC00896","LINC00896","WP4657",,"false","LINC00896",,"ENSG00000236499","ensembl"
"1",,"ENSG00000273032",,,,"1",,"74","DGCR5","DGCR9","DGCR9","WP4657",,"false","DGCR9",,"ENSG00000273032","ensembl"
"1",,"ENSG00000276427",,,,"1",,"75","IGLL4P","IGLL4P","IGLL4P","WP4657",,"false","IGLL4P",,"ENSG00000276427","ensembl"
"1",,"ENSG00000273164",,,,"1",,"76",,"DGCR10","DGCR10","WP4657",,"false","DGCR10",,"ENSG00000273164","ensembl"
"1",,"ENSG00000277467",,,,"1",,"77","RN7SL628P","RN7SL628P","RN7SL628P","WP4942",,"false","RN7SL628P",,"ENSG00000277467","ensembl"
"1",,"ENSG00000225770",,,,"1",,"78","RPS29P3","RPS29P3","RPS29P3","WP4906",,"false","RPS29P3",,"ENSG00000225770","ensembl"
"1",,"ENSG00000242876",,,,"1",,"79","RN7SL812P","RN7SL812P","RN7SL812P","WP4657",,"false","RN7SL812P",,"ENSG00000242876","ensembl"
"1",,"ENSG00000272443",,,,"1",,"80","OR13Z2P","OR13Z2P","OR13Z2P","WP4905",,"false","OR13Z2P",,"ENSG00000272443","ensembl"
"1",,"ENSG00000233471",,,,"1",,"81","KRT18P62","KRT18P62","KRT18P62","WP4657",,"false","KRT18P62",,"ENSG00000233471","ensembl"
"1",,"ENSG00000185485",,,,"1",,"82","SDHAP1","SDHAP1","SDHAP1","WP4906",,"false","SDHAP1",,"ENSG00000185485","ensembl"
"1",,"ENSG00000241709",,,,"1",,"83","RN7SL265P","RN7SL265P","RN7SL265P","WP4932",,"false","RN7SL265P",,"ENSG00000241709","ensembl"
"1",,"ENSG00000206709",,,,"1",,"84","RNU6-1080P","RNU6-1080P","RNU6-1080P","WP4932",,"false","RNU6-1080P",,"ENSG00000206709","ensembl"
"1",,"ENSG00000272359",,,,"1",,"85","RNU4-89P","RNU4-89P","RNU4-89P","WP4906",,"false","RNU4-89P",,"ENSG00000272359","ensembl"
"1",,"ENSG00000241868",,,,"1",,"86","RN7SL434P","RN7SL434P","RN7SL434P","WP4906",,"false","RN7SL434P",,"ENSG00000241868","ensembl"
"1",,"ENSG00000277072",,,,"1",,"87","STAG3L2","STAG3L2","STAG3L2","WP4932",,"false","STAG3L2",,"ENSG00000277072","ensembl"
"1",,"ENSG00000182824",,,,"1",,"88","FAM230E","FAM230E","FAM230E","WP4657",,"false","FAM230E",,"ENSG00000182824","ensembl"
"1",,"ENSG00000252695",,,,"1",,"89","MIR2276","MIR2276","MIR2276","WP5406",,"false","MIR2276",,"ENSG00000252695","ensembl"
"1",,"ENSG00000226287",,,,"1",,"90","TMEM191A","TMEM191A","TMEM191A","WP4657",,"false","TMEM191A",,"ENSG00000226287","ensembl"
"1",,"ENSG00000265850",,,,"1",,"91","MIR4797","hsa-mir-4797","hsa-mir-4797","WP4906",,"false","hsa-mir-4797",,"ENSG00000265850","ensembl"
"1",,"ENSG00000206145",,,,"1",,"92","P2RX6P","P2RX6P","P2RX6P","WP4657",,"false","P2RX6P",,"ENSG00000206145","ensembl"
"1",,"ENSG00000188280",,,,"1",,"93","FAM230G","FAM230G","FAM230G","WP4657",,"false","FAM230G",,"ENSG00000188280","ensembl"
"1",,"ENSG00000272480",,,,"1",,"94","OR13Z3P","OR13Z3P","OR13Z3P","WP4905",,"false","OR13Z3P",,"ENSG00000272480","ensembl"
"1",,"ENSG00000229483",,,,"1",,"95","LINC00362","LINC00362","LINC00362","WP5406",,"false","LINC00362",,"ENSG00000229483","ensembl"
"1",,"ENSG00000276172",,,,"1",,"96","ELMO2P1","ELMO2P1","ELMO2P1","WP4940",,"false","ELMO2P1",,"ENSG00000276172","ensembl"
"1",,"ENSG00000225578",,,,"1",,"97","NCBP2-AS1","NCBP2-AS1","NCBP2-AS1","WP4906",,"false","NCBP2-AS1",,"ENSG00000225578","ensembl"
"1",,"ENSG00000112715",,,,"1",,"98","VEGFA","VEGF, VEGFA","ENSG00000112715;VEGF, VEGFA","WP5402",,"false","VEGF, VEGFA",,"ENSG00000112715","ensembl"
"1",,"ENSG00000227242",,,,"1",,"99",,"NBPF13P","NBPF13P","WP4905",,"false","NBPF13P",,"ENSG00000227242","ensembl"
"1",,"ENSG00000224614",,,,"1",,"100","TNK2-AS1","TNK2-AS1","TNK2-AS1","WP4906",,"false","TNK2-AS1",,"ENSG00000224614","ensembl"
"1",,"ENSG00000273311",,,,"1",,"101","DGCR11","DGCR11","DGCR11","WP4657",,"false","DGCR11",,"ENSG00000273311","ensembl"
"1",,"ENSG00000207257",,,,"1",,"102","RNU6-18P","RNU6-18P","RNU6-18P","WP4942",,"false","RNU6-18P",,"ENSG00000207257","ensembl"
"1",,"ENSG00000217261",,,,"1",,"103","POM121L4P","POM121L4P","POM121L4P","WP4657",,"false","POM121L4P",,"ENSG00000217261","ensembl"
"1",,"ENSG00000207702",,,,"1",,"104","MIR211","MIR211","MIR211","WP5407",,"false","MIR211",,"ENSG00000207702","ensembl"
"1",,"ENSG00000212146",,,,"1",,"105","RNU6-910P","RNU6-910P","RNU6-910P","WP4906",,"false","RNU6-910P",,"ENSG00000212146","ensembl"
"1",,"ENSG00000206972",,,,"1",,"106","RNU6-17P","RNU6-17P","RNU6-17P","WP4942",,"false","RNU6-17P",,"ENSG00000206972","ensembl"
"1",,"ENSG00000241527",,,,"1",,"107","CA15P1","CA15P1","CA15P1","WP4657",,"false","CA15P1",,"ENSG00000241527","ensembl"
"1",,"ENSG00000244296",,,,"1",,"108","RN7SL168P","RN7SL168P","RN7SL168P","WP4657",,"false","RN7SL168P",,"ENSG00000244296","ensembl"
"1",,"ENSG00000229107",,,,"1",,"109","ABHD17AP4","ABHD17AP4","ABHD17AP4","WP4657",,"false","ABHD17AP4",,"ENSG00000229107","ensembl"
"1",,"ENSG00000215544",,,,"1",,"110","BCRP7","BCRP7","BCRP7","WP4657",,"false","BCRP7",,"ENSG00000215544","ensembl"
"1",,"ENSG00000286172",,,,"1",,"111","RNVU1-8","RNVU1-8","RNVU1-8","WP4905",,"false","RNVU1-8",,"ENSG00000286172","ensembl"
"1",,"ENSG00000263643",,,,"1",,"112","MIR4515","MIR4515","MIR4515","WP5408",,"false","MIR4515",,"ENSG00000263643","ensembl"
"1",,"ENSG00000231086",,,,"1",,"113","TSSK1A","TSSK1A","TSSK1A","WP4657",,"false","TSSK1A",,"ENSG00000231086","ensembl"
"1",,"ENSG00000284031",,,,"1",,"114","MIR4761","hsa-mir-4761","hsa-mir-4761","WP4657",,"false","hsa-mir-4761",,"MI0017402","mirbase"
"1",,"ENSG00000259890",,,,"1",,"115","DNM1P50","DNM1P50","DNM1P50","WP4942",,"false","DNM1P50",,"ENSG00000259890","ensembl"
"1",,"ENSG00000252538",,,,"1",,"116",,"RNU6-1070P","RNU6-1070P","WP4932",,"false","RNU6-1070P",,"ENSG00000252538","ensembl"
"1",,"ENSG00000229404",,,,"1",,"117","LINC00858","LINC00858","LINC00858","WP5402",,"false","LINC00858",,"ENSG00000229404","ensembl"
,,"ENSG00000109339",,,,"1",,"118","MAPK10","MAPK10","MAPK10","WP408",,"false","MAPK10",,"5602","ncbigene"
"1",,"ENSG00000103832",,,,"1",,"119","GOLGA8UP","GOLGA8UP","GOLGA8UP","WP4942",,"false","GOLGA8UP",,"ENSG00000103832","ensembl"
"1",,"ENSG00000255394",,,,"1",,"120",,"C8orf49","C8orf49","WP5346",,"false","C8orf49",,"ENSG00000255394","ensembl"
"1",,"ENSG00000239511",,,,"1",,"121","POM121L7P","POM121L7P","POM121L7P","WP4657",,"false","POM121L7P",,"ENSG00000239511","ensembl"
"1",,"ENSG00000236806",,,,"1",,"122","RPL7AP15","RPL7AP15","RPL7AP15","WP4905",,"false","RPL7AP15",,"ENSG00000236806","ensembl"
"1",,"ENSG00000237517",,,,"1",,"123","CELSR1P1","DGCR5, LINC00037","DGCR5, LINC00037;ENSG00000237517","WP4657",,"false","DGCR5, LINC00037",,"ENSG00000237517","ensembl"
"1",,"ENSG00000239122",,,,"1",,"124","RNU2-11P","RNU2-11P","RNU2-11P","WP4906",,"false","RNU2-11P",,"ENSG00000239122","ensembl"
"1",,"ENSG00000255156",,,,"1",,"125","RNY1P9","RNY1P9","RNY1P9","WP4657",,"false","RNY1P9",,"ENSG00000255156","ensembl"
"1",,"ENSG00000238391",,,,"1",,"126","RNA5SP233","RNA5SP233","RNA5SP233","WP4932",,"false","RNA5SP233",,"ENSG00000238391","ensembl"
"1",,"ENSG00000225822",,,,"1",,"127","UBXN7-AS1","UBXN7-AS1","UBXN7-AS1","WP4906",,"false","UBXN7-AS1",,"ENSG00000225822","ensembl"
"1",,"ENSG00000278811",,,,"1",,"128","LINC00624","LINC00624","LINC00624","WP4905",,"false","LINC00624",,"ENSG00000278811","ensembl"
,,"ENSG00000082556",,,,"1",,"129","OPRK1","OPRK1","OPRK1","WP3584",,"false","OPRK1",,"ENSG00000082556","ensembl"
"1",,"ENSG00000235897",,,,"1",,"130","TM4SF19-AS1","TM4SF19-AS1","TM4SF19-AS1","WP4906",,"false","TM4SF19-AS1",,"ENSG00000235897","ensembl"
"1",,"ENSG00000236670",,,,"1",,"131","KRT18P5","KRT18P5","KRT18P5","WP4657",,"false","KRT18P5",,"ENSG00000236670","ensembl"
"1",,"ENSG00000284464",,,,"1",,"132","MIR1306","hsa-mir-1306","hsa-mir-1306","WP4657",,"false","hsa-mir-1306",,"MI0006443","mirbase"
"1",,"ENSG00000250261",,,,"1",,"133","CCDC74BP1","CCDC74BP1","CCDC74BP1","WP4657",,"false","CCDC74BP1",,"ENSG00000250261","ensembl"
"1",,"ENSG00000232415",,,,"1",,"134","ELN-AS1","ELN-AS1","ELN-AS1","WP4932",,"false","ELN-AS1",,"ENSG00000232415","ensembl"
"1",,"ENSG00000201441",,,,"1",,"135","RNU6-646P","RNU6-646P","RNU6-646P","WP4906",,"false","RNU6-646P",,"ENSG00000201441","ensembl"
"1",,"ENSG00000281548",,,,"1",,"136","LINC00895","LINC00895","LINC00895","WP4657",,"false","LINC00895",,"ENSG00000281548","ensembl"
"1",,"ENSG00000201142",,,,"1",,"137","RNU1-151P","RNU1-151P","RNU1-151P","WP4905",,"false","RNU1-151P",,"ENSG00000201142","ensembl"
"1",,"ENSG00000233487",,,,"1",,"138","RPSAP69","RPSAP69","RPSAP69","WP4906",,"false","RPSAP69",,"ENSG00000233487","ensembl"
"1",,"ENSG00000264346",,,,"1",,"139","SNORA77B","SNORA77B","SNORA77B","WP4657",,"false","SNORA77B",,"ENSG00000264346","ensembl"
"1",,"ENSG00000232977",,,,"1",,"140","LINC00327","LINC00327","LINC00327","WP5406",,"false","LINC00327",,"ENSG00000232977","ensembl"
"1",,"ENSG00000265724",,,,"1",,"141","MIR4284","hsa-mir-4284","hsa-mir-4284","WP4932",,"false","hsa-mir-4284",,"MI0015893","mirbase"
"1",,"ENSG00000226015",,,,"1",,"142","CCT8P1","CCT8P1","CCT8P1","WP4905",,"false","CCT8P1",,"ENSG00000226015","ensembl"
"1",,"ENSG00000161149",,,,"1",,"143",,"TUBA3FP","TUBA3FP","WP4657",,"false","TUBA3FP",,"ENSG00000161149","ensembl"
"1",,"ENSG00000225969",,,,"1",,"144","ABHD11-AS1","ABHD11-AS1","ABHD11-AS1","WP4932",,"false","ABHD11-AS1",,"ENSG00000225969","ensembl"
"1",,"ENSG00000277031",,,,"1",,"145","RN7SL796P","RN7SL796P","RN7SL796P","WP4942",,"false","RN7SL796P",,"ENSG00000277031","ensembl"
"1",,"ENSG00000244371",,,,"1",,"146","PFN1P8","PFN1P8","PFN1P8","WP4905",,"false","PFN1P8",,"ENSG00000244371","ensembl"
"1",,"ENSG00000259179",,,,"1",,"147","UBE2CP4","UBE2CP4","UBE2CP4","WP4942",,"false","UBE2CP4",,"ENSG00000259179","ensembl"
"1",,"ENSG00000277762",,,,"1",,"148","RN7SL261P","RN7SL261P","RN7SL261P","WP4905",,"false","RN7SL261P",,"ENSG00000277762","ensembl"
"1",,"ENSG00000207924",,,,"1",,"149","MIR196A2","hsa-mir-196a-2","MI0000279;hsa-mir-196a-2","WP5398",,"false","hsa-mir-196a-2",,"MI0000279","mirbase"
"1",,"ENSG00000244682",,,,"1",,"150","FCGR2C","FCGR2C","ENSG00000244682;FCGR2C","WP5346",,"false","FCGR2C",,"ENSG00000244682","ensembl"
"1",,"ENSG00000259845",,,,"1",,"151","HERC2P10","HERC2P10","HERC2P10","WP4942",,"false","HERC2P10",,"ENSG00000259845","ensembl"
"1",,"ENSG00000278696",,,,"1",,"152","RN7SL82P","RN7SL82P","RN7SL82P","WP4942",,"false","RN7SL82P",,"ENSG00000278696","ensembl"
"1",,"ENSG00000169668",,,,"1",,"153","BCRP2","BCRP2","BCRP2","WP4657",,"false","BCRP2",,"ENSG00000169668","ensembl"
"1",,"ENSG00000238125",,,,"1",,"154","SLC9A3P2","SLC9A3P2","SLC9A3P2","WP4657",,"false","SLC9A3P2",,"ENSG00000238125","ensembl"
"1",,"ENSG00000274424",,,,"1",,"155","RN7SL196P","RN7SL196P","RN7SL196P","WP4942",,"false","RN7SL196P",,"ENSG00000274424","ensembl"
"1",,"ENSG00000129128",,,,"1",,"156","SPCS3","SPCS3","SPCS3","WP5408",,"false","SPCS3",,"ENSG00000129128","ensembl"
,"PSYGENET","ENSG00000179344","3119","1",,,"0.48","157","HLA-DQB1","HLA-DQB1","HLA-DQB1",,,"false","HLA-DQB1",,,
"1",,"ENSG00000163975",,,,"1",,"158","MELTF","MELTF","ENSG00000163975;MELTF","WP4906",,"false","MELTF",,"ENSG00000163975","ensembl"
"1",,"ENSG00000166716",,,,"1",,"159","ZNF592","ZNF592","ZNF592","WP5408",,"false","ZNF592",,"ENSG00000166716","ensembl"
"1",,"ENSG00000027001",,,,"1",,"160","MIPEP","MIPEP","MIPEP","WP5406",,"false","MIPEP",,"ENSG00000027001","ensembl"
"1",,"ENSG00000104059",,,,"1",,"161","FAM189A1","ENTREP2","ENTREP2","WP5407",,"false","ENTREP2",,"ENSG00000104059","ensembl"
,,"ENSG00000172922",,,"1",,,"162","RNASEH2C","RNASEH2C","RNASEH2C",,"10.1038/s41586-022-04434-5","false","RNASEH2C","rs11227250",,
,"PSYGENET","ENSG00000153993","223117","1",,,"0.31","163","SEMA3D","SEMA3D","SEMA3D",,,"false","SEMA3D",,,
,"PSYGENET","ENSG00000157005","6750","1",,"1","0.4","164","SST","SST","SST","WP3584",,"false","SST",,"ENSG00000157005","ensembl"
"1",,"ENSG00000144554",,,,"1",,"165","FANCD2","FANCD2","ENSG00000144554;FANCD2","WP4942, WP5407",,"false","FANCD2",,"ENSG00000144554","ensembl"
"1",,"ENSG00000005339",,,,"1",,"166","CREBBP","CBP, CREBBP","CBP, CREBBP;ENSG00000005339","WP4942, WP5407",,"false","CBP, CREBBP",,"ENSG00000005339","ensembl"
,,"ENSG00000147133",,,,"1",,"167","TAF1","TAF1","TAF1","WP3584",,"false","TAF1",,"ENSG00000147133","ensembl"
,"PSYGENET","ENSG00000213901","151295","1",,,"0.3","168","SLC23A3","SLC23A3","SLC23A3",,,"false","SLC23A3",,,
"1",,"ENSG00000285077",,,,"1",,"169","ARHGAP11B","ARHGAP11B","ARHGAP11B;ENSG00000285077","WP4942",,"false","ARHGAP11B",,"ENSG00000285077","ensembl"
,"PSYGENET","ENSG00000196632","65267","1",,,"0.31","164","WNK3","WNK3","WNK3",,,"false","WNK3",,,
,"PSYGENET","ENSG00000100219","7494","1",,,"0.36","166","XBP1","XBP1","XBP1",,,"false","XBP1",,,
,"CTD_human","ENSG00000128683","2571","1",,"1","0.4","170","GAD1","GAD1","ENSG00000128683;GAD1;GAD1","WP3584",,"false","GAD1",,"ENSG00000128683","ensembl"
,"PSYGENET","ENSG00000146122","23500","1",,,"0.31","171","DAAM2","DAAM2","DAAM2",,,"false","DAAM2",,,
"1",,"ENSG00000100218",,,,"1",,"172","RSPH14","RSPH14","RSPH14","WP5402",,"false","RSPH14",,"ENSG00000100218","ensembl"
"1","PSYGENET","ENSG00000010810","2534","1",,"1","0.45","171","FYN","FYN","ENSG00000010810;FYN;FYN","WP4942",,"false","FYN",,"ENSG00000010810","ensembl"
,"PSYGENET","ENSG00000149305","9177","1",,,"0.35","173","HTR3B","HTR3B","HTR3B",,,"false","HTR3B",,,
,"CTD_human","ENSG00000120008","55717","1",,,"0.31","174","WDR11","WDR11","WDR11",,,"false","WDR11",,,
,"PSYGENET","ENSG00000234745","3106","1",,,"0.43","175","HLA-B","HLA-B","HLA-B",,,"false","HLA-B",,,
