PathwayID	PathwayTitle	Identifier	name	Ensembl	NodeIDType	CNVassociated	NodeID
WP2781	Signaling by ERBB4	P0CG47	N6-glycyl-L-lysine-UBB(1-76), N6-glycyl-L-lysine-UBB(153-228), N6-glycyl-L-lysine-UBB(77-152), UBB, UBB(1-76), UBB(153-228), UBB(77-152), Ub-11-UBB(1-76), Ub-124-UBB(77-152), Ub-139-UBB(77-152), Ub-158-UBB(153-228), Ub-163-UBB(153-228), Ub-200-UBB(153-228), Ub-215-UBB(153-228), Ub-48-UBB(1-76), Ub-6-UBB(1-76), Ub-63-UBB(1-76), Ub-82-UBB(77-152), Ub-87-UBB(77-152), adenylatedG152-UBB(77-152), adenylatedG228-UBB(153-228), adenylatedG76-UBB(1-76)	ENSG00000170315	uniprot	0	P0CG47
WP3584, WP4932	7q11.23 copy number variation syndrome, MECP2 and associated Rett syndrome	CHEBI:16865	GABA, GABA [extracellular region], γ-aminobutyric acid		chebi	1	CHEBI:16865
WP5399	NPHP1 deletion syndrome	ENSG00000144061	NPHP1	ENSG00000144061	ensembl	0	ENSG00000144061
WP4932	7q11.23 copy number variation syndrome	ENSG00000123472	ATPAF1	ENSG00000123472	ensembl	1	ENSG00000123472
WP4222	Phosphodiesterases in neuronal function	ENSG00000154678	PDE1C	ENSG00000154678	ensembl	0	ENSG00000154678
WP3584	MECP2 and associated Rett syndrome	ENSG00000105880	DLX5	ENSG00000105880	ensembl	0	ENSG00000105880
WP4657	22q11.2 copy number variation syndrome	MIMAT0000455	hsa-miR-185		mirbase.mature	1	MIMAT0000455
WP4932	7q11.23 copy number variation syndrome	ENSG00000220205	VAMP2	ENSG00000220205	ensembl	1	ENSG00000220205
WP4905	1q21.1 copy number variation syndrome	ENSG00000162836	ACP6	ENSG00000162836	ensembl	1	ENSG00000162836
WP4657, WP4932, WP5406	13q12.12 copy number variation, 22q11.2 copy number variation syndrome, 7q11.23 copy number variation syndrome	WP254	APOPTOSIS, Apoptosis, Apoptosis Pathway, Apoptosis pathway, B. Apoptosis, Cell Death, FAS / FAS-L (Apoptosis), apoptosis		wikipathways	1	WP254
WP2781	Signaling by ERBB4	R-HSA-1253293	Ub-ERBB4:WWP1/ITCH		reactome	0	R-HSA-1253293
WP4932	7q11.23 copy number variation syndrome	ENSG00000170142	UBE2E1	ENSG00000170142	ensembl	1	ENSG00000170142
WP4657	22q11.2 copy number variation syndrome	ENSG00000099889	ARVCF	ENSG00000099889	ensembl	1	ENSG00000099889
WP4906	3q29 copy number variation syndrome	ENSG00000078725	BRINP1	ENSG00000078725	ensembl	1	ENSG00000078725
WP4657	22q11.2 copy number variation syndrome	ENSG00000244486	SCARF2	ENSG00000244486	ensembl	1	ENSG00000244486
WP4906, WP5346, WP5402	10q22q23 copy number variation, 3q29 copy number variation syndrome, 8p23.1 copy number variation syndrome	CHEBI:33019	6 PP, 7 PP, Diphosphate, Diphosphate(3−), PPi(3-), diphosphate, diphosphate(3−), pyro- phosphate		chebi	1	CHEBI:33019
WP4932	7q11.23 copy number variation syndrome	ENSG00000198899	ATP6, MT-ATP6	ENSG00000198899	ensembl	1	ENSG00000198899
WP2781	Signaling by ERBB4	R-HSA-1252008	ERBB4jmAcyt1s80 dimer		reactome	0	R-HSA-1252008
WP4657	22q11.2 copy number variation syndrome	ENSG00000108424	KPNB1, importin beta	ENSG00000108424	ensembl	1	ENSG00000108424
WP4932	7q11.23 copy number variation syndrome	ENSG00000175877	TMEM270	ENSG00000175877	ensembl	1	ENSG00000175877
WP5346, WP5405	13q12 or CRYL1 copy number variation , 8p23.1 copy number variation syndrome	CHEBI:15846	NAD, NAD+, NADH		chebi	1	CHEBI:15846
WP4657	22q11.2 copy number variation syndrome	ENSG00000273032	DGCR9	ENSG00000273032	ensembl	1	ENSG00000273032
WP4932	7q11.23 copy number variation syndrome	ENSG00000129757	CDKN1C	ENSG00000129757	ensembl	1	ENSG00000129757
WP4657	22q11.2 copy number variation syndrome	ENSG00000231086	TSSK1A	ENSG00000231086	ensembl	1	ENSG00000231086
WP4657	22q11.2 copy number variation syndrome	ENSG00000169668	BCRP2	ENSG00000169668	ensembl	1	ENSG00000169668
WP4657, WP4932	22q11.2 copy number variation syndrome, 7q11.23 copy number variation syndrome	CHEBI:18243	DA, DA [clathrin-sculpted monoamine transport vesicle lumen], Dopamine, dopamine		chebi	1	CHEBI:18243
WP2781	Signaling by ERBB4	R-HSA-8954210	ERBB4s80:ESR1:estrogen:CXCL12 gene		reactome	0	R-HSA-8954210
WP4657	22q11.2 copy number variation syndrome	ENSG00000182824	FAM230E	ENSG00000182824	ensembl	1	ENSG00000182824
WP4657	22q11.2 copy number variation syndrome	CHEBI:89633	DL-Metanephrine, Metanephrine		chebi	1	CHEBI:89633
WP2781	Signaling by ERBB4	R-HSA-5673001	RAF/MAP kinase cascade		reactome	0	R-HSA-5673001
WP4906	3q29 copy number variation syndrome	ENSG00000168589	DYNLRB2	ENSG00000168589	ensembl	1	ENSG00000168589
WP4657	22q11.2 copy number variation syndrome	WP411	mRNA Processing, mRNA processing Major splicing pathway		wikipathways	1	WP411
WP5407	15q11q13 copy number variation	WP4102	Deubiquitination		wikipathways	1	WP4102
WP2781	Signaling by ERBB4	R-HSA-1253344	ERBB4s80:WWOX		reactome	0	R-HSA-1253344
WP4906	3q29 copy number variation syndrome	ENSG00000206892	RNU6-42P	ENSG00000206892	ensembl	1	ENSG00000206892
WP4932	7q11.23 copy number variation syndrome	ENSG00000106635	BCL7B	ENSG00000106635	ensembl	1	ENSG00000106635
WP5407	15q11q13 copy number variation	ENSG00000173039	NF-kappaB p65, NFKB3, RELA, p65	ENSG00000173039	ensembl	1	ENSG00000173039
WP4905	1q21.1 copy number variation syndrome	ENSG00000278811	LINC00624	ENSG00000278811	ensembl	1	ENSG00000278811
WP4657	22q11.2 copy number variation syndrome	ENSG00000237476	LINC01637	ENSG00000237476	ensembl	1	ENSG00000237476
WP5402	10q22q23 copy number variation	ENSG00000171984	SHLD1	ENSG00000171984	ensembl	1	ENSG00000171984
WP4222	Phosphodiesterases in neuronal function	ENSG00000115252	PDE1A	ENSG00000115252	ensembl	0	ENSG00000115252
WP4657	22q11.2 copy number variation syndrome	ENSG00000166851	PLK1, PLK1 Gene	ENSG00000166851	ensembl	1	ENSG00000166851
WP4906	3q29 copy number variation syndrome	ENSG00000109670	FBXW7	ENSG00000109670	ensembl	1	ENSG00000109670
WP5346	8p23.1 copy number variation syndrome	CHEBI:33697	RNA, viral RNA		chebi	1	CHEBI:33697
WP5346	8p23.1 copy number variation syndrome	ENSG00000205882	DEFB134	ENSG00000205882	ensembl	1	ENSG00000205882
WP2781	Signaling by ERBB4	CHEBI:29105	Zinc 2+, Zn(2+), Zn2+		chebi	0	CHEBI:29105
WP2781	Signaling by ERBB4	R-HSA-1253275	WWP1/ITCH		reactome	0	R-HSA-1253275
WP4906	3q29 copy number variation syndrome	ENSG00000241868	RN7SL434P	ENSG00000241868	ensembl	1	ENSG00000241868
WP408	Oxidative stress response	4501	MT1X	ENSG00000187193	ncbigene	0	4501
WP2781	Signaling by ERBB4	R-HSA-1251970	ERBB4_ECD		reactome	0	R-HSA-1251970
WP4905, WP5407	15q11q13 copy number variation, 1q21.1 copy number variation syndrome	ENSG00000105289	TJP3	ENSG00000105289	ensembl	1	ENSG00000105289
WP4932	7q11.23 copy number variation syndrome	ENSG00000152234	ATP5A1	ENSG00000152234	ensembl	1	ENSG00000152234
WP5346	8p23.1 copy number variation syndrome	ENSG00000171060	C8orf74	ENSG00000171060	ensembl	1	ENSG00000171060
WP4906	3q29 copy number variation syndrome	5280360	Prostaglandin E2		pubchem.compound	1	5280360
WP4875	Disruption of postsynaptic signaling by CNV	ENSG00000170579	DLGAP1	ENSG00000170579	ensembl	1	ENSG00000170579
WP3584	MECP2 and associated Rett syndrome	ENSG00000065978	YB1	ENSG00000065978	ensembl	0	ENSG00000065978
WP2781	Signaling by ERBB4	P46934	NEDD4	ENSG00000069869	uniprot	0	P46934
WP4932	7q11.23 copy number variation syndrome	ENSG00000241709	RN7SL265P	ENSG00000241709	ensembl	1	ENSG00000241709
WP4875	Disruption of postsynaptic signaling by CNV	5595	ERK1, MAPK3, MAPKKK	ENSG00000102882	ncbigene	1	5595
WP4657	22q11.2 copy number variation syndrome	ENSG00000107831	FGF8	ENSG00000107831	ensembl	1	ENSG00000107831
WP3584, WP5407	15q11q13 copy number variation, MECP2 and associated Rett syndrome	ENSG00000116478	HDAC1	ENSG00000116478	ensembl	1	ENSG00000116478
WP5406	13q12.12 copy number variation	ENSG00000232977	LINC00327	ENSG00000232977	ensembl	1	ENSG00000232977
WP3584	MECP2 and associated Rett syndrome	ENSG00000130830	MPP1	ENSG00000130830	ensembl	0	ENSG00000130830
WP4932	7q11.23 copy number variation syndrome	ENSG00000277072	STAG3L2	ENSG00000277072	ensembl	1	ENSG00000277072
WP4222	Phosphodiesterases in neuronal function	ENSG00000112541	PDE10A	ENSG00000112541	ensembl	0	ENSG00000112541
WP5408	15q25 copy number variation	ENSG00000263643	MIR4515	ENSG00000263643	ensembl	1	ENSG00000263643
WP4657	22q11.2 copy number variation syndrome	http://rdf.wikipathways.org/Pathway/WP4657_r120007/Complex/eae08	GATOR1 complex		Complex	1	http://rdf.wikipathways.org/Pathway/WP4657_r120007/Complex/eae08
WP3584	MECP2 and associated Rett syndrome	ENSG00000084093	REST	ENSG00000084093	ensembl	0	ENSG00000084093
WP3584	MECP2 and associated Rett syndrome	ENSG00000064309	CDON	ENSG00000064309	ensembl	0	ENSG00000064309
WP5399	NPHP1 deletion syndrome	ENSG00000196924	FLNA	ENSG00000196924	ensembl	0	ENSG00000196924
WP4875, WP5398	Disruption of postsynaptic signaling by CNV, NRXN1 deletion syndrome	ENSG00000196338	NLGN3	ENSG00000196338	ensembl	1	ENSG00000196338
WP2781	Signaling by ERBB4	Q9UN88	GABRQ	ENSG00000268089	uniprot	0	Q9UN88
WP4657	22q11.2 copy number variation syndrome	WP35	G Protein Signaling, G Protein Signaling pathways, G protein  signaling  pathways, G protein signaling pathways, Gi Pathway, Gi/Go Pathway, Gq signaling pathway, Gq/G11 Pathway, Gs Pathway		wikipathways	1	WP35
WP4222	Phosphodiesterases in neuronal function	ENSG00000123201	GUCY1B2, sGC	ENSG00000123201	ensembl	0	ENSG00000123201
WP5402	10q22q23 copy number variation	ENSG00000173267	SNCG	ENSG00000173267	ensembl	1	ENSG00000173267
WP4932	7q11.23 copy number variation syndrome	CHEBI:50324	guanosine 5'-monophosphate residue		chebi	1	CHEBI:50324
WP4875, WP4906	3q29 copy number variation syndrome, Disruption of postsynaptic signaling by CNV	ENSG00000075711	DLG1, DLGH1	ENSG00000075711	ensembl	1	ENSG00000075711
WP4657, WP5406	13q12.12 copy number variation, 22q11.2 copy number variation syndrome	ENSG00000070831	CDC42, CDC42 gene	ENSG00000070831	ensembl	1	ENSG00000070831
WP5406	13q12.12 copy number variation	ENSG00000227893	LINC00352	ENSG00000227893	ensembl	1	ENSG00000227893
WP4657	22q11.2 copy number variation syndrome	WP2436	Dopamine metabolism		wikipathways	1	WP2436
WP4906	3q29 copy number variation syndrome	ENSG00000185798	WDR53	ENSG00000185798	ensembl	1	ENSG00000185798
WP4942	15q13.3 copy number variation syndrome	ENSG00000119737	GPR75	ENSG00000119737	ensembl	1	ENSG00000119737
WP408	Oxidative stress response	ENSG00000255346	NOX5	ENSG00000255346	ensembl	0	ENSG00000255346
WP5402	10q22q23 copy number variation	ENSG00000173269	MMRN2	ENSG00000173269	ensembl	1	ENSG00000173269
WP5408	15q25 copy number variation	Q13367	AP3B2	ENSG00000103723	uniprot	1	Q13367
WP4222, WP4875, WP5398	Disruption of postsynaptic signaling by CNV, NRXN1 deletion syndrome, Phosphodiesterases in neuronal function	ENSG00000161509	GRIN2C	ENSG00000161509	ensembl	1	ENSG00000161509
WP5346	8p23.1 copy number variation syndrome	ENSG00000136573	BLK, BLK gene	ENSG00000136573	ensembl	1	ENSG00000136573
WP2781	Signaling by ERBB4	R-HSA-1252016	ERBB4s80		reactome	0	R-HSA-1252016
WP4905	1q21.1 copy number variation syndrome	WP4239	Colon cancer		wikipathways	1	WP4239
WP4940	15q11.2 copy number variation syndrome	ENSG00000130640	TUBGCP2	ENSG00000130640	ensembl	1	ENSG00000130640
WP4942	15q13.3 copy number variation syndrome	ENSG00000260128	ULK4P2	ENSG00000260128	ensembl	1	ENSG00000260128
WP5346	8p23.1 copy number variation syndrome	CHEBI:15440	SQNE, Squalene, squalene		chebi	1	CHEBI:15440
WP4657	22q11.2 copy number variation syndrome	ENSG00000159251	ACTC1	ENSG00000159251	ensembl	1	ENSG00000159251
WP5346	8p23.1 copy number variation syndrome	CHEBI:50058	[thioredoxin]-disulfide		chebi	1	CHEBI:50058
WP5407	15q11q13 copy number variation	ENSG00000143375	CGN	ENSG00000143375	ensembl	1	ENSG00000143375
WP4657	22q11.2 copy number variation syndrome	ENSG00000226287	TMEM191A	ENSG00000226287	ensembl	1	ENSG00000226287
WP4657	22q11.2 copy number variation syndrome	ENSG00000100150	DEPDC5	ENSG00000100150	ensembl	1	ENSG00000100150
WP4932	7q11.23 copy number variation syndrome	ESCRT-I	ESCRT-I complex	ESCRT-I	ensembl	1	ESCRT-I
WP5346, WP5402	10q22q23 copy number variation, 8p23.1 copy number variation syndrome	CHEBI:15378	2 H+, 2H+, H, H+, H+ [extracellular region], Hydrogen		chebi	1	CHEBI:15378
WP4657	22q11.2 copy number variation syndrome	WP2706	Activation of gene expression by SREBF (SREBP)		wikipathways	1	WP2706
WP5407	15q11q13 copy number variation	ENSG00000207702	MIR211	ENSG00000207702	ensembl	1	ENSG00000207702
WP3584	MECP2 and associated Rett syndrome	HMDB0001389	Melatonin		hmdb	0	HMDB0001389
WP5402	10q22q23 copy number variation	ENSG00000148604	RGR	ENSG00000148604	ensembl	1	ENSG00000148604
WP5346	8p23.1 copy number variation syndrome	ENSG00000147601	TERF1	ENSG00000147601	ensembl	1	ENSG00000147601
WP5407	15q11q13 copy number variation	Q8IY18	SMC5	ENSG00000198887	uniprot	1	Q8IY18
WP3584	MECP2 and associated Rett syndrome	ENSG00000171862	PTEN, PTEN gene	ENSG00000171862	ensembl	0	ENSG00000171862
WP4932	7q11.23 copy number variation syndrome	ENSG00000137309	HMGA1	ENSG00000137309	ensembl	1	ENSG00000137309
WP2781	Signaling by ERBB4	P01111	NRAS, S-Farn-Me PalmS NRAS	ENSG00000213281	uniprot	0	P01111
WP4942, WP5407	15q11q13 copy number variation, 15q13.3 copy number variation syndrome	ENSG00000134160	TRPM1	ENSG00000134160	ensembl	1	ENSG00000134160
WP4932	7q11.23 copy number variation syndrome	P18640	Botulinum neurotoxin type C, botC HC, botC HC disulfide bonded, botC LC, botC LC disulfide bonded		uniprot	1	P18640
WP4940	15q11.2 copy number variation syndrome	ENSG00000126216	TUBGCP3	ENSG00000126216	ensembl	1	ENSG00000126216
WP4906	3q29 copy number variation syndrome	ENSG00000212146	RNU6-910P	ENSG00000212146	ensembl	1	ENSG00000212146
WP4906	3q29 copy number variation syndrome	ENSG00000174004	NRROS	ENSG00000174004	ensembl	1	ENSG00000174004
WP3584	MECP2 and associated Rett syndrome	ENSG00000101412	E2F1, E2F1 gene	ENSG00000101412	ensembl	0	ENSG00000101412
WP4222	Phosphodiesterases in neuronal function	ENSG00000152270	PDE3B	ENSG00000152270	ensembl	0	ENSG00000152270
WP2781	Signaling by ERBB4	R-HSA-1233236	NRGs/EGF-like ligands		reactome	0	R-HSA-1233236
WP2781	Signaling by ERBB4	CHEBI:15996	GTP, GTP [cytosol], GTP [plasma membrane], Guanosine triphosphate, H4gtp GPT		chebi	0	CHEBI:15996
WP5402	10q22q23 copy number variation	CHEBI:59789	S-Adenosylmethionine, S-adenosyl-L-methionine, SAM, SAM SAMe, SAMe		chebi	1	CHEBI:59789
WP4940	15q11.2 copy number variation syndrome	ENSG00000276172	ELMO2P1	ENSG00000276172	ensembl	1	ENSG00000276172
WP5402	10q22q23 copy number variation	ENSG00000015171	ZMYND11	ENSG00000015171	ensembl	1	ENSG00000015171
WP2781	Signaling by ERBB4	R-HSA-9612227	ERBB4s80:MyrG-p-Y419-SRC		reactome	0	R-HSA-9612227
WP4932	7q11.23 copy number variation syndrome	ENSG00000241837	ATP5O	ENSG00000241837	ensembl	1	ENSG00000241837
WP5402	10q22q23 copy number variation	ENSG00000104941	RSPH6A	ENSG00000104941	ensembl	1	ENSG00000104941
WP2781	Signaling by ERBB4	CHEBI:16618	PI(3,4,5)P3, PI(3,4,5)P3 [endocytic vesicle membrane], PI(3,4,5)P3 [endosome membrane], PIP3, PtdIns(3,4,5)P3		chebi	0	CHEBI:16618
WP4657	22q11.2 copy number variation syndrome	CHEMBL1909290	Dermatan sulfate		chembl.compound	1	CHEMBL1909290
WP4657	22q11.2 copy number variation syndrome	CHEBI:89951	Normetanephrine, Normetanephrine NM		chebi	1	CHEBI:89951
WP4906	3q29 copy number variation syndrome	CPX-1427	Nuclear cap- binding complex		ena.embl	1	CPX-1427
WP4932	7q11.23 copy number variation syndrome	O00159	MYO1C	ENSG00000197879	uniprot	1	O00159
WP4932	7q11.23 copy number variation syndrome	ENSG00000278540	ACACA, ACACA gene	ENSG00000278540	ensembl	1	ENSG00000278540
WP4932	7q11.23 copy number variation syndrome	ENSG00000119689	DLST	ENSG00000119689	ensembl	1	ENSG00000119689
WP4657	22q11.2 copy number variation syndrome	ENSG00000164107	HAND2, Hand2	ENSG00000164107	ensembl	1	ENSG00000164107
WP3584	MECP2 and associated Rett syndrome	MIMAT0022697	hsa-miR-382-3p		mirbase.mature	0	MIMAT0022697
WP5398	NRXN1 deletion syndrome	ENSG00000132535	DLG4, PSD95	ENSG00000132535	ensembl	0	ENSG00000132535
WP3584	MECP2 and associated Rett syndrome	MIMAT0001639	hsa-miR-409-3p		mirbase.mature	0	MIMAT0001639
WP5402	10q22q23 copy number variation	ENSG00000148600	CDHR1	ENSG00000148600	ensembl	1	ENSG00000148600
WP4905	1q21.1 copy number variation syndrome	ENSG00000183853	KIRREL1	ENSG00000183853	ensembl	1	ENSG00000183853
WP5408	15q25 copy number variation	http://rdf.wikipathways.org/Pathway/WP5408_r127198/Complex/db596	Signal peptidase complex		Complex	1	http://rdf.wikipathways.org/Pathway/WP5408_r127198/Complex/db596
WP4932	7q11.23 copy number variation syndrome	ENSG00000124172	ATP5E	ENSG00000124172	ensembl	1	ENSG00000124172
WP3584	MECP2 and associated Rett syndrome	MIMAT0000429	hsa-miR-137		mirbase.mature	0	MIMAT0000429
WP4906	3q29 copy number variation syndrome	WP1887	Post-translational modification:  synthesis of GPI-anchored proteins		wikipathways	1	WP1887
WP4222	Phosphodiesterases in neuronal function	ENSG00000078295	ADCY2	ENSG00000078295	ensembl	0	ENSG00000078295
WP5407	15q11q13 copy number variation	CHEBI:29035	MN2+, Mn2+		chebi	1	CHEBI:29035
WP2781	Signaling by ERBB4	P01112	HRAS, RAS, S-Farn-Me-2xPalmS HRAS	ENSG00000174775	uniprot	0	P01112
WP5402	10q22q23 copy number variation	ENSG00000204033	LRIT2	ENSG00000204033	ensembl	1	ENSG00000204033
WP4657	22q11.2 copy number variation syndrome	WP4900	Purinergic signaling		wikipathways	1	WP4900
WP4942, WP5407	15q11q13 copy number variation, 15q13.3 copy number variation syndrome	ENSG00000166912	MTMR10	ENSG00000166912	ensembl	1	ENSG00000166912
WP4657	22q11.2 copy number variation syndrome	ENSG00000185838	GNB1L	ENSG00000185838	ensembl	1	ENSG00000185838
WP5346	8p23.1 copy number variation syndrome	ENSG00000102043	MTMR8	ENSG00000102043	ensembl	1	ENSG00000102043
